"","date","count"
"2702",2020-02-26,5408377
"2703",2020-02-27,5057133
"2704",2020-02-28,4431376
"2705",2020-02-29,813895
"2706",2020-03-01,2846497
"2707",2020-03-02,5015440
"2708",2020-03-03,5294341
"2709",2020-03-04,5616828
"2710",2020-03-05,5351942
"2711",2020-03-06,5265989
"2712",2020-03-07,3404019
"2713",2020-03-08,3381266
"2714",2020-03-09,5486954
"2715",2020-03-10,5601352
"2716",2020-03-11,5532113
"2717",2020-03-12,6011139
"2718",2020-03-13,5322154
"2719",2020-03-14,3748736
"2720",2020-03-15,3735402
"2721",2020-03-16,5564778
"2722",2020-03-17,5776984
"2723",2020-03-18,5826830
"2724",2020-03-19,5622618
"2725",2020-03-20,5237692
"2726",2020-03-21,3934413
"2727",2020-03-22,4046873
"2728",2020-03-23,5697132
"2729",2020-03-24,5633332
"2730",2020-03-25,5790088
"2731",2020-03-26,5871356
"2732",2020-03-27,5471817
"2733",2020-03-28,4123297
"2734",2020-03-29,4386409
"2735",2020-03-30,6047392
"2736",2020-03-31,6124338
"2737",2020-04-01,6096520
"2738",2020-04-02,5834997
"2739",2020-04-03,5567398
"2740",2020-04-04,4093833
"2741",2020-04-05,4070278
"2742",2020-04-06,5918665
"2743",2020-04-07,6019196
"2744",2020-04-08,6137979
"2745",2020-04-09,5791204
"2746",2020-04-10,5024294
"2747",2020-04-11,4076517
"2748",2020-04-12,4204181
"2749",2020-04-13,5579191
"2750",2020-04-14,5956191
"2751",2020-04-15,6261854
"2752",2020-04-16,5952598
"2753",2020-04-17,5731258
"2754",2020-04-18,4202639
"2755",2020-04-19,4159295
"2756",2020-04-20,5906379
"2757",2020-04-21,6023798
"2758",2020-04-22,6423521
"2759",2020-04-23,5920321
"2760",2020-04-24,6124431
"2761",2020-04-25,5026115
"2762",2020-04-26,4768013
"2763",2020-04-27,6772284
"2764",2020-04-28,7343716
"2765",2020-04-29,7237916
"2766",2020-04-30,6929943
"2767",2020-05-01,5974943
"2768",2020-05-02,5152247
"2769",2020-05-03,4845000
"2770",2020-05-04,6126880
"2771",2020-05-05,5872075
"2772",2020-05-06,7159980
"2773",2020-05-07,6975196
"2774",2020-05-08,6548263
"2775",2020-05-09,4485711
"2776",2020-05-10,4192988
"2777",2020-05-11,5997824
"2778",2020-05-12,5926256
"2779",2020-05-13,5947588
"2780",2020-05-14,5656685
"2781",2020-05-15,5451839
"2782",2020-05-16,3865245
"2783",2020-05-17,3953345
"2784",2020-05-18,5844182
"2785",2020-05-19,5865905
"2786",2020-05-20,5615840
"2787",2020-05-21,4922355
"2788",2020-05-22,4669594
"2789",2020-05-23,3374027
"2790",2020-05-24,3395234
"2791",2020-05-25,4602446
"2792",2020-05-26,5306103
"2793",2020-05-27,5670043
"2794",2020-05-28,5606382
"2795",2020-05-29,5217785
"2796",2020-05-30,3516281
"2797",2020-05-31,3587210
"2798",2020-06-01,5130608
"2799",2020-06-02,5716028
"2800",2020-06-03,6015594
"2801",2020-06-04,5583691
"2802",2020-06-05,5273340
"2803",2020-06-06,3721601
"2804",2020-06-07,3891468
"2805",2020-06-08,5905323
"2806",2020-06-09,5844896
"2807",2020-06-10,5973342
"2808",2020-06-11,5657446
"2809",2020-06-12,5161049
"2810",2020-06-13,3691191
"2811",2020-06-14,3756104
"2812",2020-06-15,5581130
"2813",2020-06-16,5780859
"2814",2020-06-17,5593276
"2815",2020-06-18,5586658
"2816",2020-06-19,4967381
"2817",2020-06-20,3350555
"2818",2020-06-21,3334502
"2819",2020-06-22,5344644
"2820",2020-06-23,5471499
"2821",2020-06-24,5376658
"2822",2020-06-25,5112022
"2823",2020-06-26,4860540
"2824",2020-06-27,3181458
"2825",2020-06-28,3337121
"2826",2020-06-29,5125027
"2827",2020-06-30,5143339
"2828",2020-07-01,5125980
"2829",2020-07-02,5093478
"2830",2020-07-03,4368728
"2831",2020-07-04,2963518
"2832",2020-07-05,3035438
"2833",2020-07-06,4946091
"2834",2020-07-07,5119853
"2835",2020-07-08,5305033
"2836",2020-07-09,5121175
"2837",2020-07-10,5131575
"2838",2020-07-11,2783171
"2839",2020-07-12,2869087
"2840",2020-07-13,4692870
"2841",2020-07-14,4829052
"2842",2020-07-15,4993286
"2843",2020-07-16,4885479
"2844",2020-07-17,4480006
"2845",2020-07-18,2938120
"2846",2020-07-19,2897591
"2847",2020-07-20,4800871
"2848",2020-07-21,5198052
"2849",2020-07-22,5252593
"2850",2020-07-23,4875900
"2851",2020-07-24,4578764
"2852",2020-07-25,3150360
"2853",2020-07-26,3131228
"2854",2020-07-27,4961478
"2855",2020-07-28,5007604
"2856",2020-07-29,4971115
"2857",2020-07-30,4949850
"2858",2020-07-31,4262330
"2859",2020-08-01,2915006
"2860",2020-08-02,2991495
"2861",2020-08-03,5067425
"2862",2020-08-04,5117699
"2863",2020-08-05,5351577
"2864",2020-08-06,5066469
"2865",2020-08-07,4684199
"2866",2020-08-08,3045189
"2867",2020-08-09,3033072
"2868",2020-08-10,4934912
"2869",2020-08-11,5138859
"2870",2020-08-12,5203010
"2871",2020-08-13,5040046
"2872",2020-08-14,4507798
"2873",2020-08-15,3065556
"2874",2020-08-16,3169221
"2875",2020-08-17,5025849
"2876",2020-08-18,5303680
"2877",2020-08-19,5564462
"2878",2020-08-20,4882517
"2879",2020-08-21,4534759
"2880",2020-08-22,3042332
"2881",2020-08-23,3104707
"2882",2020-08-24,5080413
"2883",2020-08-25,5257122
"2884",2020-08-26,5441498
"2885",2020-08-27,5250530
"2886",2020-08-28,4785674
"2887",2020-08-29,3230764
"2888",2020-08-30,3260977
"2889",2020-08-31,5252387
"2890",2020-09-01,5680724
"2891",2020-09-02,5993915
"2892",2020-09-03,5917994
"2893",2020-09-04,5081319
"2894",2020-09-05,3343738
"2895",2020-09-06,3418747
"2896",2020-09-07,5242107
"2897",2020-09-08,6054532
"2898",2020-09-09,6459031
"2899",2020-09-10,5999388
"2900",2020-09-11,5640766
"2901",2020-09-12,3757569
"2902",2020-09-13,3700610
"2903",2020-09-14,6235548
"2904",2020-09-15,6172040
"2905",2020-09-16,5988455
"2906",2020-09-17,6358551
"2907",2020-09-18,6052024
"2908",2020-09-19,3790409
"2909",2020-09-20,3876053
"2910",2020-09-21,6308143
"2911",2020-09-22,6642617
"2912",2020-09-23,6663493
"2913",2020-09-24,6145071
"2914",2020-09-25,5823565
"2915",2020-09-26,4206401
"2916",2020-09-27,4379680
"2917",2020-09-28,6415095
"2918",2020-09-29,6394136
"2919",2020-09-30,6325751
"2920",2020-10-01,6065349
"2921",2020-10-02,5510484
"2922",2020-10-03,3677105
"2923",2020-10-04,3826218
"2924",2020-10-05,6070738
"2925",2020-10-06,6376731
"2926",2020-10-07,6514977
"2927",2020-10-08,6176986
"2928",2020-10-09,5648919
